ID_Metrica;ID_Acquisizione;Stimolo;Categoria;Latenza_ms;Durata_Fissazione_ms;Diametro_Pupillare_Medio_mm;Ampiezza_deg;Velocita_Picco_deg_s;Guadagno_Pursuit;Error_Rate_Perc;;;
69;1001;1.jpg;Saccade;426;23,2;-;21,2;1938,5;;40;;;
70;1001;1.jpg;Fissazione;435;369,6;-;-;-;;;;;
71;1001;1.jpg;Fissazione;391;63,2;-;-;-;;;;;
72;1001;1.jpg;Saccade;496;32,8;-;9,9;587,8;;35;;;
73;1001;1.jpg;Saccade;382;60,8;-;20,7;1330,6;;45;;;
74;1001;1.jpg;Saccade;415;44,8;-;2,4;129;;40;;;
75;1001;1.jpg;Saccade;406;24;-;7,6;557,5;;42;;;
76;1001;1.jpg;Saccade;468;32,8;-;16,6;1277,4;;43;;;
77;1001;1.jpg;Saccade;460;67,2;-;17,3;833,4;;27;;;
78;1001;1.jpg;Fissazione;445;175,2;-;-;-;;;;;
79;1001;1.jpg;Fissazione;433;101,6;-;-;-;;;;;
80;1001;1.jpg;Saccade;499;23,2;-;12,2;973,2;;45;;;
81;1001;1.jpg;Fissazione;489;112;-;-;-;;;;;
82;1001;1.jpg;Saccade;457;22,4;-;4,8;240,9;;43;;;
83;1001;1.jpg;Saccade;495;36;-;20,9;1601,4;;29;;;
84;1001;1.jpg;Saccade;407;39,2;-;23,4;1505;;37;;;
85;1001;1.jpg;Saccade;385;22,4;-;6,8;675,8;;44;;;
86;1001;1.jpg;Saccade;488;44;-;1,4;68;;27;;;
87;1001;1.jpg;Saccade;390;29,6;-;9,5;631;;29;;;
88;1001;1.jpg;Saccade;477;24;-;6,9;732;;33;;;
89;1001;1.jpg;Fissazione;491;51,2;-;-;-;;;;;
90;1001;1.jpg;Saccade;382;58,4;-;20,8;1006,5;;37;;;
91;1001;1.jpg;Saccade;467;22,4;-;7,8;672,6;;25;;;
92;1001;1.jpg;Saccade;442;32,8;-;21,7;1388,6;;31;;;
93;1001;1.jpg;Saccade;388;32,8;-;1,1;79,5;;26;;;
94;1001;1.jpg;Saccade;467;63,2;-;23,3;1289,9;;44;;;
95;1001;1.jpg;Saccade;466;27,2;-;12,9;1033;;28;;;
96;1001;1.jpg;Saccade;482;34,4;-;14,4;1205,6;;31;;;
97;1001;1.jpg;Saccade;418;45,6;-;14,9;887;;36;;;
98;1001;1.jpg;Saccade;417;51,2;-;4,5;153,7;;38;;;
99;1001;1.jpg;Saccade;479;45,6;-;17,4;954;;35;;;
100;1001;2.jpg;Saccade;427;27,2;-;7,1;650,4;;29;;;
101;1001;2.jpg;Saccade;411;24;-;6,9;732;;43;;;
102;1001;2.jpg;Saccade;447;22,4;-;6,1;396,4;;35;;;
103;1001;2.jpg;Saccade;453;22,4;-;7,8;672,6;;40;;;
104;1001;2.jpg;Saccade;466;59,2;-;22,9;1454,1;;43;;;
105;1001;2.jpg;Fissazione;470;460,8;-;-;-;;;;;
106;1001;2.jpg;Saccade;416;28;-;9;675,6;;32;;;
107;1001;2.jpg;Saccade;405;50,4;-;20,7;1398,1;;35;;;
108;1001;2.jpg;Fissazione;387;148,8;-;-;-;;;;;
109;1001;2.jpg;Saccade;487;87,2;-;55,5;1952,3;;33;;;
110;1001;2.jpg;Saccade;492;70,4;-;25,2;977,4;;25;;;
111;1001;2.jpg;Saccade;418;24,8;-;14,7;1053;;40;;;
112;1001;2.jpg;Saccade;427;39,2;-;7,9;536,1;;34;;;
113;1001;2.jpg;Fissazione;475;112;-;-;-;;;;;
114;1001;2.jpg;Fissazione;418;203,2;-;-;-;;;;;
115;1001;2.jpg;Saccade;477;90,4;-;4,4;148,5;;30;;;
116;1001;2.jpg;Saccade;418;28;-;11,6;884,4;;41;;;
117;1001;2.jpg;Fissazione;438;340;-;-;-;;;;;
118;1001;2.jpg;Saccade;498;30,4;-;26,5;1699,7;;43;;;
119;1001;2.jpg;Saccade;395;24,8;-;10,3;1190,2;;34;;;
120;1001;2.jpg;Fissazione;409;128;-;-;-;;;;;
121;1001;2.jpg;Saccade;423;30,4;-;14,6;1012,8;;40;;;
122;1001;2.jpg;Fissazione;470;369,6;-;-;-;;;;;
123;1001;2.jpg;Saccade;387;38,4;-;22,4;1287,3;;41;;;
124;1001;2.jpg;Saccade;484;45,6;-;11,7;623,4;;41;;;
125;1001;3.jpg;Saccade;495;29,6;-;6,8;506,7;;33;;;
126;1001;3.jpg;Fissazione;491;91,2;-;-;-;;;;;
127;1001;3.jpg;Saccade;381;32;-;3,3;108,3;;38;;;
128;1001;3.jpg;Saccade;451;27,2;-;7,1;650,4;;35;;;
129;1001;3.jpg;Fissazione;471;117,6;-;-;-;;;;;
130;1001;3.jpg;Saccade;390;22,4;-;4,8;240,9;;32;;;
131;1001;3.jpg;Saccade;383;35,2;-;15,5;935;;25;;;
132;1001;3.jpg;Saccade;415;23,2;-;13,2;721,6;;29;;;
133;1001;3.jpg;Saccade;407;23,2;-;12,2;973,2;;36;;;
134;1001;3.jpg;Saccade;456;28,8;-;8,1;517,1;;43;;;
135;1001;3.jpg;Saccade;402;36;-;20,9;1601,4;;33;;;
136;1001;3.jpg;Saccade;469;45,6;-;17,4;954;;27;;;
137;1001;3.jpg;Saccade;488;32,8;-;13,3;1072,5;;30;;;
138;1001;3.jpg;Saccade;441;53,6;-;24,1;1367,1;;45;;;
139;1001;3.jpg;Saccade;416;44,8;-;2,4;129;;30;;;
140;1001;3.jpg;Saccade;388;26,4;-;10,3;914;;28;;;
141;1001;3.jpg;Saccade;491;44;-;1,4;68;;28;;;
142;1001;3.jpg;Saccade;394;58,4;-;26,1;1165,6;;36;;;
143;1001;3.jpg;Fissazione;430;294,4;-;-;-;;;;;
144;1001;3.jpg;Saccade;426;36,8;-;15,2;699,5;;30;;;
145;1001;3.jpg;Saccade;420;23,2;-;9,5;976,9;;33;;;
146;1001;3.jpg;Saccade;423;41,6;-;15,7;878,6;;30;;;
147;1001;3.jpg;Saccade;430;51,2;-;5,2;293,5;;27;;;
148;1001;3.jpg;Saccade;490;28,8;-;15,6;1161,7;;26;;;
149;1001;3.jpg;Fissazione;495;369,6;-;-;-;;;;;
150;1001;3.jpg;Saccade;411;51,2;-;4,5;153,7;;34;;;
151;1001;3.jpg;Saccade;388;32,8;-;14,3;1019,5;;43;;;
152;1001;3.jpg;Saccade;429;22,4;-;4;197,1;;40;;;
153;1001;3.jpg;Fissazione;482;215,2;-;-;-;;;;;
154;1001;1.jpg;Saccade;412;28,9;-;15,7;1161,8;;27;;;
155;1001;1.jpg;Saccade;416;42,5;-;18,2;1156,1;;41;;;
156;1001;1.jpg;Saccade;468;22,5;-;10,3;968,8;;40;;;
157;1002;1.jpg;Saccade;498;27,2;-;7,1;650,4;;36;;;
158;1002;1.jpg;Fissazione;485;121,6;-;-;-;;;;;
159;1002;1.jpg;Saccade;396;42,4;-;1,5;65,7;;33;;;
160;1002;1.jpg;Saccade;487;49,6;-;5,3;207,5;;39;;;
161;1002;1.jpg;Saccade;492;67,2;-;17,3;833,4;;45;;;
162;1002;1.jpg;Saccade;413;28,8;-;21,8;2131,8;;42;;;
163;1002;1.jpg;Saccade;487;52;-;19,6;1348,3;;34;;;
164;1002;1.jpg;Saccade;400;58,4;-;26,1;1165,6;;27;;;
165;1002;1.jpg;Fissazione;456;102,4;-;-;-;;;;;
166;1002;1.jpg;Saccade;411;22,4;-;6,1;396,4;;40;;;
167;1002;1.jpg;Saccade;493;32;-;3,3;108,3;;41;;;
168;1002;1.jpg;Fissazione;417;215,2;-;-;-;;;;;
169;1002;1.jpg;Saccade;385;24;-;8,4;573,9;;25;;;
170;1002;1.jpg;Saccade;383;39,2;-;23,5;1731,4;;26;;;
171;1002;1.jpg;Saccade;393;25,6;-;8,3;601,6;;43;;;
172;1002;1.jpg;Fissazione;482;264,8;-;-;-;;;;;
173;1002;1.jpg;Fissazione;495;63,2;-;-;-;;;;;
174;1002;1.jpg;Saccade;433;45,6;-;14,9;887;;39;;;
175;1002;1.jpg;Fissazione;456;140;-;-;-;;;;;
176;1002;1.jpg;Saccade;430;29,6;-;15,1;1262,8;;27;;;
177;1002;1.jpg;Fissazione;436;352;-;-;-;;;;;
178;1002;1.jpg;Saccade;469;39,2;-;7,9;536,1;;29;;;
179;1002;1.jpg;Saccade;434;41,6;-;15,7;878,6;;28;;;
180;1002;1.jpg;Saccade;432;58,4;-;8,2;378,7;;31;;;
181;1002;1.jpg;Saccade;404;23,2;-;12,2;973,2;;30;;;
182;1002;1.jpg;Saccade;468;40;-;14,9;1083,8;;33;;;
183;1002;1.jpg;Fissazione;383;166,4;-;-;-;;;;;
184;1002;1.jpg;Saccade;491;30,4;-;26,5;1699,7;;42;;;
185;1002;1.jpg;Saccade;470;50,4;-;20,7;1398,1;;36;;;
186;1002;1.jpg;Fissazione;475;257,6;-;-;-;;;;;
187;1002;1.jpg;Saccade;492;49,6;-;42,6;2043,6;;43;;;
188;1002;1.jpg;Saccade;457;27,2;-;20;1688,6;;43;;;
189;1002;1.jpg;Saccade;397;23,2;-;9,5;976,9;;42;;;
190;1002;1.jpg;Fissazione;434;209,6;-;-;-;;;;;
191;1002;1.jpg;Fissazione;499;340;-;-;-;;;;;
192;1002;1.jpg;Fissazione;387;154,4;-;-;-;;;;;
193;1002;1.jpg;Saccade;494;23,2;-;13,2;721,6;;29;;;
194;1002;1.jpg;Saccade;497;44;-;1,4;68;;41;;;
195;1002;1.jpg;Saccade;456;42,4;-;18,1;1156,9;;32;;;
196;1002;1.jpg;Saccade;402;27,2;-;12,9;1033;;39;;;
197;1002;1.jpg;Saccade;456;22,4;-;4,8;240,9;;33;;;
198;1002;1.jpg;Saccade;494;22,4;-;6,6;569,1;;45;;;
199;1002;1.jpg;Saccade;388;28;-;11,6;884,4;;27;;;
200;1002;1.jpg;Fissazione;380;1036;-;-;-;;;;;
201;1002;1.jpg;Saccade;486;28,8;-;8,8;565,7;;26;;;
202;1002;1.jpg;Saccade;406;36;-;20,9;1601,4;;31;;;
203;1002;1.jpg;Saccade;492;31,2;-;11,8;1263,2;;26;;;
204;1002;1.jpg;Saccade;428;22,4;-;7,8;672,6;;45;;;
205;1002;1.jpg;Saccade;411;28;-;7,5;664,5;;29;;;
206;1002;1.jpg;Saccade;423;24,8;-;10,3;1190,2;;32;;;
207;1002;1.jpg;Saccade;403;22,4;-;10,2;968,7;;30;;;
208;1002;1.jpg;Saccade;487;22,4;-;3,9;267,1;;41;;;
209;1002;1.jpg;Fissazione;464;360,8;-;-;-;;;;;
210;1002;1.jpg;Saccade;441;32,8;-;16,6;1277,4;;42;;;
211;1002;1.jpg;Saccade;416;24,8;-;14,7;1053;;44;;;
212;1002;1.jpg;Saccade;397;48,8;-;32,6;1876,7;;26;;;
213;1002;1.jpg;Saccade;477;24;-;7,6;557,5;;45;;;
214;1002;1.jpg;Saccade;406;28;-;9;675,6;;34;;;
215;1002;1.jpg;Saccade;453;25,6;-;20,4;2027,7;;38;;;
216;1002;1.jpg;Fissazione;381;101,6;-;-;-;;;;;
217;1002;1.jpg;Saccade;487;36,8;-;15,2;699,5;;30;;;
218;1002;1.jpg;Saccade;467;22,4;-;9,3;777,1;;31;;;
219;1002;1.jpg;Fissazione;447;120,8;-;-;-;;;;;
220;1002;1.jpg;Saccade;414;54,4;-;16,9;1056;;35;;;
221;1002;1.jpg;Saccade;473;24;-;10,9;1075,9;;25;;;
222;1002;1.jpg;Saccade;447;51,2;-;4,5;153,7;;32;;;
223;1002;1.jpg;Fissazione;405;294,4;-;-;-;;;;;
224;1002;1.jpg;Saccade;386;32;-;10,6;1054;;38;;;
225;1002;1.jpg;Saccade;449;25,6;-;9,9;723,3;;32;;;
226;1002;1.jpg;Saccade;450;38,4;-;22,4;1287,3;;41;;;
227;1002;1.jpg;Saccade;467;53,6;-;24,1;1367,1;;40;;;
228;1002;1.jpg;Fissazione;444;51,2;-;-;-;;;;;
229;1002;1.jpg;Saccade;460;30,4;-;14,6;1012,8;;44;;;
230;1002;1.jpg;Saccade;480;32,8;-;21,7;1388,6;;32;;;
231;1002;1.jpg;Saccade;416;34,4;-;14,4;1205,6;;43;;;
232;1002;1.jpg;Saccade;462;28,8;-;8,1;517,1;;41;;;
233;1002;1.jpg;Saccade;410;92;-;50,7;1483,9;;42;;;
234;1002;1.jpg;Saccade;444;51,2;-;5,2;293,5;;33;;;
235;1002;1.jpg;Saccade;473;90,4;-;4,4;148,5;;27;;;
236;1002;1.jpg;Fissazione;430;91,2;-;-;-;;;;;
237;1002;1.jpg;Saccade;464;75,2;-;70,9;2061,7;;38;;;
238;1002;1.jpg;Saccade;461;32,8;-;9;642,7;;36;;;
239;1002;1.jpg;Fissazione;472;203,2;-;-;-;;;;;
240;1002;1.jpg;Saccade;398;32,8;-;9,9;587,8;;30;;;
241;1002;1.jpg;Fissazione;432;112;-;-;-;;;;;
242;1002;1.jpg;Saccade;499;87,2;-;55,5;1952,3;;44;;;
243;1002;1.jpg;Fissazione;390;460,8;-;-;-;;;;;
244;1002;1.jpg;Saccade;474;36;-;32,4;2009,2;;27;;;
245;1002;1.jpg;Saccade;395;45,6;-;17,4;954;;35;;;
246;1002;1.jpg;Saccade;446;45,6;-;11,7;623,4;;36;;;
247;1002;1.jpg;Saccade;414;52,8;-;3,4;109,8;;30;;;
248;1002;1.jpg;Saccade;484;51,2;-;1,4;40,7;;27;;;
249;1002;1.jpg;Saccade;397;28,8;-;15,6;1161,7;;30;;;
250;1002;1.jpg;Saccade;392;29,6;-;9,5;631;;44;;;
251;1002;1.jpg;Saccade;407;25,6;-;6,8;495,1;;34;;;
252;1002;1.jpg;Fissazione;495;63,2;-;-;-;;;;;
253;1002;1.jpg;Fissazione;458;128;-;-;-;;;;;
254;1002;1.jpg;Saccade;403;24;-;0,9;73,8;;30;;;
255;1002;1.jpg;Saccade;409;28;-;6,9;637,2;;44;;;
256;1002;1.jpg;Saccade;407;32;-;1,3;85,3;;31;;;
257;1002;1.jpg;Saccade;454;24,8;-;16,3;1662,5;;41;;;
258;1002;1.jpg;Saccade;470;22,4;-;6,8;675,8;;32;;;
259;1002;1.jpg;Fissazione;405;143,2;-;-;-;;;;;
260;1002;1.jpg;Fissazione;464;818,4;-;-;-;;;;;
261;1002;1.jpg;Fissazione;392;128;-;-;-;;;;;
262;1002;1.jpg;Saccade;475;25,6;-;9,4;575,7;;31;;;
263;1002;1.jpg;Saccade;408;27,2;-;10,6;755,5;;26;;;
264;1002;1.jpg;Saccade;381;26,4;-;10,3;914;;26;;;
265;1002;2.jpg;Fissazione;481;209,6;-;-;-;;;;;
266;1002;2.jpg;Saccade;420;25,6;-;9,9;723,3;;30;;;
267;1002;2.jpg;Saccade;390;51,2;-;5,2;293,5;;39;;;
268;1002;2.jpg;Saccade;461;24;-;0,9;73,8;;40;;;
269;1002;2.jpg;Saccade;474;29,6;-;15,1;1262,8;;29;;;
270;1002;2.jpg;Saccade;433;32,8;-;16,6;1277,4;;40;;;
271;1002;2.jpg;Saccade;402;44,8;-;33,3;1772,5;;33;;;
272;1002;2.jpg;Saccade;500;70,4;-;25,2;977,4;;30;;;
273;1002;2.jpg;Saccade;401;22,4;-;6,1;396,4;;25;;;
274;1002;2.jpg;Saccade;441;32;-;1,5;89;;39;;;
275;1002;2.jpg;Fissazione;427;140;-;-;-;;;;;
276;1002;2.jpg;Saccade;403;31,2;-;11,8;1263,2;;28;;;
277;1002;2.jpg;Saccade;416;22,4;-;7,7;692,6;;43;;;
278;1002;2.jpg;Fissazione;434;175,2;-;-;-;;;;;
279;1002;2.jpg;Saccade;485;30,4;-;26,5;1699,7;;44;;;
280;1002;2.jpg;Saccade;455;24,8;-;10,3;1190,2;;40;;;
281;1002;2.jpg;Saccade;448;28,8;-;15,6;1161,7;;39;;;
282;1002;2.jpg;Saccade;474;36;-;20,9;1601,4;;42;;;
283;1002;2.jpg;Saccade;448;25,6;-;12,4;705,1;;27;;;
284;1002;2.jpg;Saccade;441;22,4;-;9,3;777,1;;31;;;
285;1002;2.jpg;Saccade;478;44;-;19,1;1329,9;;33;;;
286;1002;2.jpg;Saccade;400;25,6;-;9,4;575,7;;32;;;
287;1002;2.jpg;Saccade;453;27,2;-;20;1688,6;;30;;;
288;1002;2.jpg;Saccade;472;45,6;-;14,9;887;;42;;;
289;1002;2.jpg;Saccade;437;35,2;-;15,5;935;;37;;;
290;1002;2.jpg;Saccade;427;62,4;-;19,5;1628,1;;41;;;
291;1002;2.jpg;Saccade;437;49,6;-;42,6;2043,6;;25;;;
292;1002;2.jpg;Saccade;428;41,6;-;15,7;878,6;;35;;;
293;1002;3.jpg;Saccade;452;59,2;-;22,9;1454,1;;45;;;
294;1002;3.jpg;Saccade;427;32;-;10,6;1054;;36;;;
295;1002;3.jpg;Saccade;408;49,6;-;42,6;2043,6;;40;;;
296;1002;3.jpg;Saccade;460;39,2;-;23,4;1505;;32;;;
297;1002;3.jpg;Fissazione;386;91,2;-;-;-;;;;;
298;1002;3.jpg;Fissazione;492;175,2;-;-;-;;;;;
299;1002;3.jpg;Fissazione;454;264,8;-;-;-;;;;;
300;1002;3.jpg;Saccade;491;44;-;1,4;68;;37;;;
301;1002;3.jpg;Saccade;411;53,6;-;24,1;1367,1;;40;;;
302;1002;3.jpg;Fissazione;427;352;-;-;-;;;;;
303;1002;3.jpg;Fissazione;488;154,4;-;-;-;;;;;
304;1002;3.jpg;Saccade;434;27,2;-;12,9;1033;;39;;;
305;1002;3.jpg;Saccade;479;27,2;-;20;1688,6;;28;;;
306;1002;3.jpg;Saccade;477;30,4;-;26,5;1699,7;;38;;;
307;1002;3.jpg;Fissazione;436;112;-;-;-;;;;;
308;1002;3.jpg;Saccade;381;23,2;-;13,2;721,6;;25;;;
309;1002;3.jpg;Saccade;399;50,4;-;20,7;1398,1;;26;;;
310;1002;3.jpg;Saccade;412;58,4;-;20,8;1006,5;;32;;;
311;1002;3.jpg;Saccade;450;32,8;-;14,3;1019,5;;32;;;
312;1002;3.jpg;Saccade;400;31,2;-;11,8;1263,2;;37;;;
313;1002;3.jpg;Saccade;490;51,2;-;4,5;153,7;;34;;;
314;1002;3.jpg;Saccade;394;36,8;-;15,2;699,5;;39;;;
315;1002;3.jpg;Saccade;496;24;-;12,9;1275,2;;27;;;
316;1003;1.jpg;Fissazione;438;63,2;-;-;-;;;;;
317;1003;1.jpg;Saccade;428;44;-;19,1;1329,9;;43;;;
318;1003;1.jpg;Fissazione;387;91,2;-;-;-;;;;;
319;1003;1.jpg;Saccade;402;27,2;-;10,6;755,5;;43;;;
320;1003;1.jpg;Saccade;446;29,6;-;12,2;951,2;;35;;;
321;1003;1.jpg;Saccade;389;24;-;6,9;707,3;;30;;;
322;1003;1.jpg;Fissazione;438;154,4;-;-;-;;;;;
323;1003;1.jpg;Fissazione;500;121,6;-;-;-;;;;;
324;1003;1.jpg;Fissazione;413;818,4;-;-;-;;;;;
325;1003;1.jpg;Fissazione;412;340;-;-;-;;;;;
326;1003;1.jpg;Fissazione;499;369,6;-;-;-;;;;;
327;1003;1.jpg;Saccade;493;53,6;-;24,1;1367,1;;42;;;
328;1003;1.jpg;Saccade;444;25,6;-;8,3;601,6;;45;;;
329;1003;1.jpg;Fissazione;390;215,2;-;-;-;;;;;
330;1003;1.jpg;Saccade;492;27,2;-;20;1688,6;;44;;;
331;1003;1.jpg;Saccade;479;45,6;-;14,9;887;;43;;;
332;1003;1.jpg;Saccade;467;26,4;-;11,5;1098,9;;44;;;
333;1003;1.jpg;Fissazione;464;257,6;-;-;-;;;;;
334;1003;1.jpg;Saccade;391;22,4;-;7,8;672,6;;35;;;
335;1003;1.jpg;Saccade;397;22,4;-;6,6;569,1;;27;;;
336;1003;1.jpg;Saccade;381;60,8;-;20,7;1330,6;;27;;;
337;1003;1.jpg;Saccade;427;30,4;-;26,5;1699,7;;32;;;
338;1003;1.jpg;Saccade;470;54,4;-;16,9;1056;;27;;;
339;1003;1.jpg;Saccade;396;32,8;-;9;642,7;;35;;;
340;1003;1.jpg;Saccade;458;51,2;-;5,2;293,5;;35;;;
341;1003;1.jpg;Saccade;429;92;-;50,7;1483,9;;29;;;
342;1003;1.jpg;Fissazione;454;166,4;-;-;-;;;;;
343;1003;1.jpg;Fissazione;458;128;-;-;-;;;;;
344;1003;1.jpg;Saccade;401;28;-;11,6;884,4;;33;;;
345;1003;1.jpg;Fissazione;497;460,8;-;-;-;;;;;
346;1003;1.jpg;Saccade;411;22,4;-;10,2;968,7;;35;;;
347;1003;1.jpg;Fissazione;486;51,2;-;-;-;;;;;
348;1003;1.jpg;Fissazione;475;294,4;-;-;-;;;;;
349;1003;1.jpg;Saccade;450;39,2;-;7,9;536,1;;27;;;
350;1003;1.jpg;Saccade;381;45,6;-;11,7;623,4;;37;;;
351;1003;1.jpg;Saccade;473;63,2;-;23,3;1289,9;;33;;;
352;1003;1.jpg;Saccade;466;22,4;-;4;197,1;;45;;;
353;1003;1.jpg;Fissazione;387;117,6;-;-;-;;;;;
354;1003;1.jpg;Saccade;494;35,2;-;15,5;935;;32;;;
355;1003;1.jpg;Saccade;438;30,4;-;14,6;1012,8;;32;;;
356;1003;1.jpg;Saccade;450;32,8;-;21,7;1388,6;;32;;;
357;1003;1.jpg;Saccade;384;43,2;-;7,3;404,4;;36;;;
358;1003;1.jpg;Fissazione;395;352;-;-;-;;;;;
359;1003;1.jpg;Saccade;399;25,6;-;12,4;705,1;;42;;;
360;1003;1.jpg;Saccade;399;26,4;-;17,7;1300,4;;39;;;
361;1003;1.jpg;Saccade;457;32;-;3,3;108,3;;45;;;
362;1003;1.jpg;Saccade;488;50,4;-;20,7;1398,1;;37;;;
363;1003;1.jpg;Fissazione;444;203,2;-;-;-;;;;;
364;1003;1.jpg;Saccade;478;87,2;-;55,5;1952,3;;45;;;
365;1003;1.jpg;Saccade;408;29,6;-;15,1;1262,8;;39;;;
366;1003;1.jpg;Saccade;463;24;-;6,9;732;;31;;;
367;1003;1.jpg;Saccade;442;32;-;10,6;1054;;35;;;
368;1003;1.jpg;Saccade;468;49,6;-;5,3;207,5;;26;;;
369;1003;1.jpg;Fissazione;463;658,4;-;-;-;;;;;
370;1003;1.jpg;Saccade;384;24,8;-;14,7;1053;;29;;;
371;1003;1.jpg;Saccade;439;40;-;14,9;1083,8;;35;;;
372;1003;1.jpg;Saccade;494;25,6;-;6,8;495,1;;29;;;
373;1003;1.jpg;Saccade;400;28,8;-;8,8;565,7;;41;;;
374;1003;1.jpg;Saccade;473;58,4;-;20,8;1006,5;;31;;;
